,Status_Date_UTC,Date_UTC,Status_Time_UTC,Time_UTC,Status_POS_Latitude_WGS84_deg,POS_Latitude_WGS84_deg,Status_POS_Longitude_WGS84_deg,POS_Longitude_WGS84_deg,Status_Altitude_WGS84_m,POS_Altitude_WGS84_m,Status_POS_HeightAGL_m,POS_HeightAGL_m,Status_POS_Heading_deg,POS_Heading_deg,Strength,Distance
84,1,14.01.2022,1,08:56:47.2,1,53.91425,1,9.3125087,1,43.3,1,2.1,1,98.29,101,11.498092108561199
85,1,14.01.2022,1,08:56:48.6,1,53.9142,1,9.3130577,1,43.1,1,2.1,1,98.85,100,11.471539391078625
86,1,14.01.2022,1,08:56:49.1,1,53.914183,1,9.3132537,1,43,1,2.1,1,98.9,99,11.462019251510222
87,1,14.01.2022,1,08:56:51.0,1,53.914117,1,9.3140023,1,43,1,2.1,1,98.89,94,11.425788098965537
88,1,14.01.2022,1,08:56:51.0,1,53.914117,1,9.3140023,1,43,1,2.1,1,98.89,97,11.425788098965537
89,1,14.01.2022,1,08:56:52.9,1,53.91405,1,9.314756,1,43.1,1,2.1,1,99.02,94,11.389446157591053
90,1,14.01.2022,1,08:56:52.9,1,53.91405,1,9.314756,1,43.1,1,2.1,1,99.02,94,11.389446157591053
91,1,14.01.2022,1,08:56:52.9,1,53.91405,1,9.314756,1,43.1,1,2.1,1,99.02,92,11.389446157591053
92,1,14.01.2022,1,08:56:53.9,1,53.914,1,9.3151533,1,43.2,1,2.1,1,99.48,98,11.371264020911095
93,1,14.01.2022,1,08:56:56.3,1,53.9139,1,9.3161067,1,43.4,1,2.1,1,100.23,94,11.326489509855067
94,1,14.01.2022,1,08:56:57.9,1,53.913833,1,9.3167415,1,43.5,1,2.1,1,100.83,88,11.296802846234181
95,1,14.01.2022,1,08:56:58.4,1,53.913817,1,9.3169402,1,43.5,1,2.1,1,100.87,83,11.287207412965907
96,1,14.01.2022,1,08:56:59.9,1,53.91375,1,9.3175362,1,43.6,1,2.1,1,101.2,94,11.259694410414655
97,1,14.01.2022,1,08:57:01.8,1,53.91365,1,9.3182907,1,43.3,1,2.1,1,101.77,93,11.22595292620447
98,1,14.01.2022,1,08:57:02.6,1,53.913617,1,9.3186085,1,43.2,1,2.1,1,101.81,62,11.211186624385302
99,1,14.01.2022,1,08:57:02.9,1,53.9136,1,9.3187277,1,43.2,1,2.1,1,101.86,88,11.205953640128543
100,1,14.01.2022,1,08:57:02.9,1,53.9136,1,9.3187277,1,43.2,1,2.1,1,101.86,89,11.205953640128543
101,1,14.01.2022,1,08:57:03.5,1,53.913567,1,9.318966,1,43.2,1,2.1,1,101.85,94,11.195437830371935
102,1,14.01.2022,1,08:57:04.4,1,53.913517,1,9.3193225,1,43.2,1,2.1,1,101.98,68,11.179771588116095
103,1,14.01.2022,1,08:57:05.5,1,53.913467,1,9.3197568,1,43.4,1,2.1,1,102.08,104,11.160012872475761
104,1,14.01.2022,1,08:57:06.5,1,53.913417,1,9.3201513,1,43.5,1,2.1,1,102.2,83,11.142400015798925
105,1,14.01.2022,1,08:57:07.5,1,53.913367,1,9.3205463,1,43.4,1,2.1,1,102.23,100,11.12479550619543
106,1,14.01.2022,1,08:57:07.8,1,53.91335,1,9.3206648,1,43.4,1,2.1,1,102.23,69,11.119652464554703
107,1,14.01.2022,1,08:57:09.5,1,53.913267,1,9.3213365,1,43.4,1,2.1,1,102.41,90,11.089681116693853
108,1,14.01.2022,1,08:57:09.7,1,53.91325,1,9.3214155,1,43.4,1,2.1,1,102.41,69,11.086640845469882
109,1,14.01.2022,1,08:57:12.0,1,53.913133,1,9.3223248,1,43.2,1,2.1,1,102.74,64,11.046556017304137
110,1,14.01.2022,1,08:57:12.3,1,53.913117,1,9.3224435,1,43.2,1,2.1,1,102.8,84,11.04138570074823
111,1,14.01.2022,1,08:57:12.4,1,53.913117,1,9.322483,1,43.2,1,2.1,1,102.84,89,11.039311906014351
112,1,14.01.2022,1,08:57:13.4,1,53.913067,1,9.3228778,1,43.2,1,2.1,1,102.77,56,11.021927697878123
113,1,14.01.2022,1,08:57:14.3,1,53.913017,1,9.3232327,1,43.2,1,2.1,1,102.91,82,11.006668608385404
114,1,14.01.2022,1,08:57:14.6,1,53.913,1,9.3233508,1,43.3,1,2.1,1,102.96,68,11.001621803501159
115,1,14.01.2022,1,08:57:14.6,1,53.913,1,9.3233508,1,43.3,1,2.1,1,102.96,67,11.001621803501159
116,1,14.01.2022,1,08:57:17.2,1,53.91285,1,9.3243728,1,43.4,1,2.1,1,103.25,64,10.958286657151938
117,1,14.01.2022,1,08:57:18.3,1,53.9128,1,9.3248053,1,43.5,1,2.1,1,103.16,82,10.939117494792374
118,1,14.01.2022,1,08:57:19.2,1,53.91275,1,9.3251598,1,43.4,1,2.1,1,103.07,69,10.924046642793845
119,1,14.01.2022,1,08:57:19.8,1,53.912717,1,9.3253963,1,43.3,1,2.1,1,103.1,66,10.913985571567377
120,1,14.01.2022,1,08:57:20.0,1,53.9127,1,9.3254752,1,43.3,1,2.1,1,103.11,96,10.91103790379911
121,1,14.01.2022,1,08:57:20.2,1,53.9127,1,9.325554,1,43.3,1,2.1,1,103.12,89,10.90694537150142
122,1,14.01.2022,1,08:57:21.0,1,53.91265,1,9.3258692,1,43.4,1,2.1,1,103.16,78,10.893978265618827
